"";"time1R";"time2R";"time1ACS";"time2ACS";"time1KAST";"time2KAST";"time1KD";"time2KD";"time1ADR";"time2ADR";"ganhador"
"1";1,084;0,968;213,52;194,6;72;69,4;1,088;0,934;139,2;128,86;1
"2";1,084;0,97;213,52;189,2;72;69,2;1,088;0,926;139,2;125,7;1
"3";0,994;1,12;212,4;227,88;70,6;73,4;1,056;1,16;137,58;146,94;0
"4";0,94;0,942;201,06;199;68,2;68,6;0,958;0,934;132,18;128,2;1
"5";1,014;1,098;218,86;214,58;71,4;74,6;1,068;1,172;139,84;136,4;0
"6";1,014;1,082;218,86;209,3;71,4;74,2;1,068;1,14;139,84;134,32;0
"7";0,958;1,018;197,38;216,68;69,2;70,6;0,958;1,068;130,34;139,58;0
"8";0,942;0,878;199;189,6;68,6;66,8;0,934;0,858;128,2;124,66;1
"9";0,958;0,914;197,38;198,94;69,2;67,4;0,958;0,96;130,34;129,46;0
"10";0,94;0,878;201,06;189,6;68,2;66,8;0,958;0,858;132,18;124,66;1
"11";1,092;1,064;220,58;219,56;73,6;71,2;1,126;1,102;142,44;140,6;1
"12";0,968;1,038;197,54;225,4;70,2;70;0,958;1,076;129,84;145,06;0
"13";1,018;0,888;216,68;182,18;70,6;67,6;1,068;0,834;139,58;122,52;1
"14";1,012;0,946;196,26;207,2;71,6;67,4;0,986;0,956;127,18;134,62;1
"15";1,04;0,968;214,6;197,54;71,2;70,2;1,058;0,958;141,08;129,84;0
"16";1,038;0,94;225,4;201,18;70;69;1,076;0,936;145,06;130,98;1
"17";1,04;0,89;214,6;193,4;71,2;67;1,058;0,878;141,08;126,74;1
"18";0,92;1,038;192,94;225,4;66,6;70;0,894;1,076;130,84;145,06;0
"19";0,94;0,946;201,18;189,66;69;69,8;0,936;0,912;130,98;123,96;1
"20";1,012;0,916;196,26;201,98;71,6;66,2;0,986;0,904;127,18;134,96;1
"21";1,084;0,946;232,42;207,2;71,8;67,4;1,134;0,956;150,16;134,62;0
"22";0,96;0,906;187,1;195,02;70,4;66,6;0,932;0,89;123,86;127,7;0
"23";1,008;0,97;217,2;208,34;69;68,8;1,01;1,006;139,46;133,48;0
"24";0,916;0,888;191,12;182,18;68,2;67,6;0,9;0,834;125,8;122,52;1
"25";1,04;0,786;214,6;175,84;71,2;64,4;1,058;0,746;141,08;116,86;1
"26";0,968;0,838;197,54;181,28;70,2;64,8;0,958;0,794;129,84;119,12;1
"27";0,858;1,038;193,28;225,4;65,4;70;0,852;1,076;128,76;145,06;0
"28";0,906;1,084;193,78;232,42;66,2;71,8;0,892;1,134;127,44;150,16;0
"29";1,084;0,638;232,42;153,52;71,8;54,6;1,134;0,58;150,16;102,56;1
"30";0,968;1,084;197,54;232,42;70,2;71,8;0,958;1,134;129,84;150,16;1
"31";0,906;1,038;195,02;225,4;66,6;70;0,89;1,076;127,7;145,06;1
"32";1,084;0,638;232,42;153,52;71,8;54,6;1,134;0,58;150,16;102,56;1
"33";1,038;0,834;225,4;190,56;70;64,6;1,076;0,852;145,06;126,42;1
"34";0,756;0,97;172,24;208,34;67,2;68,8;0,736;1,006;113,98;133,48;0
"35";0,94;0,942;201,06;199;68,2;68,6;0,958;0,934;132,18;128,2;1
"36";1,028;1,054;209,72;210,16;71,6;72,2;1,06;1,046;136,78;137,26;0
"37";1,034;0,986;213,38;207,66;70,4;69,8;1,078;0,97;138,16;136,94;0
"38";0,94;0,878;201,06;189,6;68,2;66,8;0,958;0,858;132,18;124,66;1
"39";1,028;0,992;209,72;202,48;71,6;69,8;1,06;0,98;136,78;131,12;1
"40";1,054;1,076;210,16;207,78;72,2;72,6;1,046;1,108;137,26;135,2;1
"41";1,028;0,952;209,72;194,6;71,6;69,2;1,06;0,936;136,78;125,82;1
"42";0,992;0,984;202,48;197,34;69,8;70,2;0,98;0,96;131,12;129,56;1
"43";1,054;0,994;210,16;208,04;72,2;68,8;1,046;1,02;137,26;133,4;1
"44";0,866;0,97;192,14;208,34;65,4;68,8;0,86;1,006;127,32;133,48;0
"45";0,926;0,958;191,28;198,36;67,2;68,4;0,9;0,962;125,5;128,74;0
"46";0,916;1,044;191,66;220,9;68,6;70,8;0,91;1,054;126,02;143,06;0
"47";0,946;0,994;207,2;208,04;67,4;68,8;0,956;1,02;134,62;133,4;0
"48";0,952;0,89;194,6;193,4;69,2;67;0,936;0,878;125,82;126,74;1
"49";1,008;0,984;207,24;197,34;71,2;70,2;1,012;0,96;134,3;129,56;0
"50";1,054;0,96;210,16;187,1;72,2;70,4;1,046;0,932;137,26;123,86;1
"51";1,028;0,968;209,72;197,54;71,6;70,2;1,06;0,958;136,78;129,84;1
"52";0,992;0,906;202,48;195,02;69,8;66,6;0,98;0,89;131,12;127,7;1
"53";0,906;0,984;194,38;197,34;66,2;70,2;0,892;0,96;126,96;129,56;0
"54";1,076;0,714;207,78;163,4;72,6;59,2;1,108;0,7;135,2;109,76;1
"55";1,028;0,91;209,72;194,42;71,6;68,4;1,06;0,894;136,78;128,44;1
"56";1,054;0,912;210,16;196,36;72,2;67,8;1,046;0,918;137,26;127;1
"57";1,008;0,922;207,24;197,64;71,2;67,2;1,012;0,922;134,3;129,46;1
"58";0,96;0,826;187,1;188,84;70,4;65,2;0,932;0,806;123,86;126,34;1
"59";0,994;0,878;208,04;189,6;68,8;68,2;1,02;0,86;133,4;124,5;1
"60";0,97;0,856;208,34;183,26;68,8;66,8;1,006;0,86;133,48;120,74;1
"61";1,008;0,756;217,2;172,24;69;67,2;1,01;0,736;139,46;113,98;1
"62";0,958;0,866;205,22;192,14;67,6;65,4;0,974;0,86;131,98;127,32;0
"63";0,922;0,926;204,82;191,28;67;67,2;0,95;0,9;135,78;125,5;0
